 2017-01-03 21:31:24,932 [P10648/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on SHIMI-PC
 2017-01-03 21:31:24,966 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-01-03 21:31:24,987 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 20ms)
 2017-01-03 21:31:25,053 [P10648/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-01-03 21:31:25,055 [P10648/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-01-03 21:31:25,062 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-01-03 21:31:25,604 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 542ms)
 2017-01-03 21:31:25,623 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-01-03 21:31:25,640 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 17ms)
 2017-01-03 21:31:25,641 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-01-03 21:31:25,651 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 10ms)
 2017-01-03 21:31:25,670 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-01-03 21:31:25,676 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
 2017-01-03 21:31:25,677 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-01-03 21:31:25,687 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 9ms)
 2017-01-03 21:31:25,771 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-01-03 21:31:25,779 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2017-01-03 21:31:25,780 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-01-03 21:31:25,787 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2017-01-03 21:31:27,453 [P10648/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-03 21:31:27,771 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Models.PublishedContent.PublishedContentModel
 2017-01-03 21:31:27,782 [P10648/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Models.PublishedContent.PublishedContentModel, found 0 (took 11ms)
